13856	褐丸
8019	蝉退饮
9702	当归
18685	龙眼汤
20745	青蒿
11095	二胜丸
2167	熬漆丸
23083	乌发糖
12981	桂萸汤
6847	白凤饮
13044	革八
11268	附子
12917	归附汤
14013	褐丸
12088	反魂丹
14175	红玉锭子
14256	狐骨散
14450	活血洒
7837	辰砂益元散
20997	青阳汤
12383	葛根
11415	防附汤
16566	焦鸱散
22308	升麻黄芪汤
19663	栗皮丸
18082	建胃丹
13415	黄连
19203	羚羊饮
13159	谷精汤
2188	鳖甲
9671	当归
17478	浸汤
13445	黄连
18319	溃疡丸
11272	附子
9709	当归
19071	藜香散
11054	二胡散
9650	当归
14775	灰煎
23419	泻肝散
22559	通鼻散
13879	褐丸
18035	僵蚕
14022	花粉
18129	救荒丹
6835	白鸡汤
19678	榴灰散
16068	蠲饮丸
11943	风气膏
22221	参翎丸
2190	鳖甲
17678	君子汤
13518	黄连
20641	脾泻丸
14041	黄连
16635	结毒丸
18802	鳢鱼汤
2195	鳖甲
7149	白散
9620	当归
6981	百补丸
9719	当归
16845	捷疟饮
17219	金龙丸
21180	七生汤
22193	四乌汤
23221	血瘀散
13408	黄连
16937	济生丸
11297	附子灸
22348	湿香
13801	还肾汤
10539	荡鬼汤
13503	黄连
16948	荆防甘桔汤
8403	沉香饼
14394	海明散
16861	揭毒散
7378	八生散
22006	四乌汤
12329	鸽粪散
11032	二苓散
12698	桂灵散
11674	粉霜
13545	黄连
14894	和肝汤
10893	鹅石散
11074	二宜丹
6901	槟榔四消丸
15734	金胆丸
17875	加减安肾丸
17959	加减不焕金正气散
22038	生筋散
12703	桂浆粥
18536	坎炁丹
12385	葛根
20299	蔓菁子汤
17990	静神丸
10670	丹砂饮
13754	黄散
15237	含汤
14721	回阳酒
6919	白蔹
7975	赤小豆
17144	卷栢散
17853	菊连汤
23496	续命汤
9701	当归
14873	和荣散
7282	冰芦散
17124	禁口丹
23318	消谷丸
16022	解暑散
7114	宝花散
5109	白鹤散
5003	补汤
9589	当归
10156	当归
8447	辰香散
7060	比圣汤
7977	赤小豆
12530	甘醴
16284	结毒丸
19796	利格汤
7618	辨毒散
6911	白带散
18204	救焚散
22110	参苓饮
24543	枣汤
21040	清经散
9841	当归
20013	柳仙散
13040	膈汤
17812	济心丹
22350	湿香
13487	黄连
7850	辰砂圆
15578	金药
16708	救阳丹
7367	八宝推云散
10720	东瓜汤
10774	大丸
10990	二蛟散
14062	葫荽子散
14603	换骨酒
8411	辰香散
18099	健中丸
10013	大黄泄热汤
2215	鳖甲
19960	六气汤
22282	生化汤
7243	北庭丸
13091	桂丸
15604	金腺膏
2244	闭毒散
13460	黄连
22061	参附散
13153	谷精汤
9320	肚蒜丸
11311	附子
14038	黄连
14724	回阳酒
18510	快斑汤
13442	黄连
16281	结毒牛黄丸
9643	当归
13913	虎杖
8446	辰香散
10456	大建脾丸
14981	唅化丹
2079	安胎如胜饮
19944	流注散
7498	碧丹
13406	黄连
18175	揭毒散
21263	入圣散
11234	附雄散
10974	二蛟散
17251	揭毒散
11149	二仙糕
8745	常将散
7031	拔毒锭
11296	附子
7690	雏凤丸
7778	陈橘皮煎
9369	独胜丸
11267	附子
14506	褐丸
14889	滑石
12286	鼓神汤
2570	补益散
19289	硫黄顶
9720	当归
20101	麻黄煎
13548	黄连
12735	革八
15154	化癖丹
9667	荡鬼汤
9893	定眩汤
20917	青真汤
17407	积串
15159	化症回生丹
12977	归耆饮
16457	集圣汤
13373	黄雌鸡
13455	黄连
10538	地黄汁
11728	繁柳散
16280	解毒生肌散
9677	当归
9965	夺命煎
17644	加味三生丸
22451	三肾丸
19566	灵圣散
7494	薄肤膏
16394	解疮散
21775	舒眉丸
18098	箭蚛散
11754	风气膏
6683	百应丸
16459	济生丹
20281	门冬饮
10194	大附散
7447	备金散
7272	白散
12477	甘醴
22289	参龟丸
6775	白沙丹
12807	桂辛汤
12938	革七
15864	解郁丹
20021	六益丸
9576	当归
13532	黄连
14454	活血饮
15713	金柏散
8608	赤汤
10766	当归
12340	葛根
12982	归梢汤
18052	建脾理中汤
20454	蔓荆丸
14647	虎胫丸
20927	清金饮
22223	参花散
9657	当归
21587	神消散
21649	石苇散
11315	附子
6868	闭精丸
6762	百御丸
2201	鳖甲
11018	二甘散
13214	哽生散
13478	黄连
18527	坎粒砂
17406	集圣汤
8067	赤汤
9491	独附散
9716	当归
7061	比圣散
12624	衮金丸
8082	赤汤
12074	发疱膏
9603	调血汤
16580	胶艾丸
14914	喝起丸
19339	立正散
14360	海金砂
18135	救阳丹
17320	鸡矢醴
12978	桂耆汤
14609	浣肌散
16121	菊花细辛散
20922	青真汤
6653	白蔹
7973	赤小豆
14203	黄散
13163	固神丸
16552	榉皮散
12346	葛根
12359	葛根
20793	青冰散
24028	益气丸
14354	海马散
23480	陷胸汤
19528	灵砂
15059	滑石
6736	百点膏
9673	当归
6930	柏灰散
12367	葛根
13521	黄连酊
12972	归灵汤
16906	箭蚛散
18701	龙实散
11869	敷药
20559	宁神饮
15577	金连丸
14330	滑石
13374	黄雌鸡饭
13737	黄漆丸
11281	附子
7990	除饮丸
7352	八室丹
18001	济肝散
18034	僵蚕
6651	白蔹
7068	必消散
9595	当归
12932	桂灵散
15058	滑石
6941	柏石散
15238	回毒散
15155	化阳汤
18031	僵蚕
13411	黄连
13456	黄连
12712	革八
14035	黄连
17426	椒丸
9557	砥柱丸
10687	丹矾散
23226	香薷饮
2587	补泄丸
20010	柳花丹
7897	赤龙鳞散
13990	褐丸
