16592706052960,1659270605296,9683,4
16592706052961,1659270605296,12477,3
16592706052962,1659270605296,9322,3
16592706052963,1659270605296,8107,4
16592706052964,1659270605296,12327,2
16592706052965,1659270605296,7217,4
16592706052966,1659270605296,8378,2
16592706052967,1659270605296,12133,4
16592706052968,1659270605296,2627,4
16592706052969,1659270605296,14226,3
16593363327750,1659336332775,14237,4
16593363327751,1659336332775,16582,5
16593363327752,1659336332775,9618,4
16593363327753,1659336332775,9332,4
16593363327754,1659336332775,18679,4
16593363327755,1659336332775,18297,4
16593363327756,1659336332775,16621,4
16593363327757,1659336332775,2063,5
16593363327758,1659336332775,18558,5
16593363327759,1659336332775,17479,5
16593363624260,1659336362426,15136,5
16593363624261,1659336362426,9598,4
16593363624262,1659336362426,13284,5
16593363624263,1659336362426,9086,5
16593363624264,1659336362426,16102,5
16593363624265,1659336362426,13846,5
16593363624266,1659336362426,17738,5
16593363624267,1659336362426,2056,5
16593363624268,1659336362426,17444,5
16593363624269,1659336362426,14948,5
16593363933950,1659336393395,10576,4
16593363933951,1659336393395,10037,5
16593363933952,1659336393395,15443,5
16593363933953,1659336393395,2019,5
16593363933954,1659336393395,16204,5
16593363933955,1659336393395,12635,5
16593363933956,1659336393395,16486,4
16593363933957,1659336393395,7218,5
16593363933958,1659336393395,9847,5
16593363933959,1659336393395,13323,5
16593364262430,1659336426243,11238,5
16593364262431,1659336426243,15777,4
16593364262432,1659336426243,15234,4
16593364262433,1659336426243,10985,5
16593364262434,1659336426243,9821,4
16593364262435,1659336426243,7324,5
16593364262436,1659336426243,7430,4
16593364262437,1659336426243,15251,4
16593364262438,1659336426243,18400,4
16593364262439,1659336426243,15599,5
16593364512900,1659336451290,13992,5
16593364512901,1659336451290,13290,4
16593364512902,1659336451290,7311,5
16593364512903,1659336451290,16509,5
16593364512904,1659336451290,8543,5
16593364512905,1659336451290,11796,4
16593364512906,1659336451290,19571,5
16593364512907,1659336451290,16771,5
16593364512908,1659336451290,2178,5
16593364512909,1659336451290,7458,5
16593364788140,1659336478814,7541,5
16593364788141,1659336478814,13123,5
16593364788142,1659336478814,13017,5
16593364788143,1659336478814,9716,5
16593364788144,1659336478814,14942,4
16593364788145,1659336478814,17373,5
16593364788146,1659336478814,9308,5
16593364788147,1659336478814,6953,5
16593364788148,1659336478814,10709,5
